Gene Name,Balaton consensus calls,,Carrel hybrids,Carrel SNPs,Cotton AI,Cotton DNAm,,Transcript Start,Transcript Stop,Transcript Type,CTAG gene,Expression in GM12878,Expression in IMR90,Expressed in Either Tissue,Domain categories,Results from other literature,Lister mCH,Sex differences in expression,Y homology,alternate gene names,Related Diseases,Comments
LOC643486,No call,,,,,,,95592084,95592901,ncRNA,No,0,0,Neither,S,,,,,,,
7SK,No call,,,,,,,95665430,95665781,snRNA,No,0,0,Neither,S,,,,,,,
DIAPH2,Discordant,,0.44,,S,too much U,,95939661,96855597,mRNA,No,0.032326836,0.06928106,Neither,S,,,,Y pseudogene,"HSU24186, HEIL2, Hs.157695, Hs.271686",POF2A,
RPA4,No call,,,,,,,96138906,96140450,mRNA,No,0.10663469,0.8501217,Both,S,,,,,,,
RBSG1,No call,,,,,,,96692825,96819534,mRNA,No,0.042257078,0.027235372,Neither,S,,,,,,,
Mir_340,No call,,,,,,,97607750,97607847,miRNA,No,0,0,Neither,S,,,,,,,
LOC442459,No call,,,,,,,98716599,99194841,ncRNA,No,0.003387499,0.001130863,Neither,S,,,,,,,
PCDH19,S,,,,,all F S or S+U,,99546641,99665271,mRNA,No,0.00169738,0.001519635,Neither,S,,,,Y pseudogene,,EIEE9,
TNMD,No call,,,,,,,99839789,99854882,mRNA,No,0,0,Neither,S,,,,,,,
TSPAN6,Mostly S,,0.11,,,S or S+U and VE and U,,99883794,99891794,mRNA,No,0.005719792,5.497725,Fibroblast Only,S,,,,,TM4SF6 ,,
SRPX2,VE,,0.56,,VE,,,99899162,99926296,mRNA,No,0.005396904,3.6037128,Fibroblast Only,S,,,,,None,RESDX,
SYTL4,Mostly S,,0.78,S,,all F S or S+U,,99929488,99987135,mRNA,No,0.006192056,0.78804994,Fibroblast Only,S,,,,,None,,
CSTF2,S,,0,,S,all F S or S+U,,100075347,100095923,mRNA,No,1.0257269,3.0450852,Both,S,,S,,,None,,
SNORA9,No call,,,,,,,100077608,100077741,snoRNA,No,0.06830456,0.19219169,Fibroblast Only,S,,,,,,,
NOX1,No call,,,,,,,100098312,100129334,mRNA,No,0.05664635,0.027394889,Neither,S,,,,,,,
XKRX,S,,,,,all F S or S+U,,100168430,100183898,mRNA,No,0.053843547,0.14817235,Fibroblast Only,S,,,,Y homolog,,,
ARL13A,S,,,,S,,,100224696,100245820,mRNA,No,0.10831729,0.10971985,Both,S,,,,,,,
TRMT2B,S,,,,S,all F S or S+U,,100264333,100307105,mRNA,No,0.5901726,1.3041518,Both,S,,S,,Y pseudogene,,,
TMEM35,S,,0,,,too much U,,100333835,100351355,mRNA,No,0.009403036,1.9769824,Fibroblast Only,S,,,,,FLJ14084 ,,
CENPI,S,,0,S,S,all F S or S+U,,100353177,100417978,mRNA,No,0.30423683,0.6994612,Both,S,,S,,Y pseudogene,FSHPRH1 ,,
DRP2,S,,0,,S,,,100474932,100519485,mRNA,No,0.028555028,2.725426,Fibroblast Only,S,,S,,Y pseudogene,None,,
TAF7L,E,,,,E,,,100523240,100542793,mRNA,yes,0.013106204,0.12248608,Fibroblast Only,E,,,,Y pseudogene,,,
TIMM8A,Mostly S,,0.2,,,S or S+U and VE and U,,100600643,100603957,mRNA,No,2.294415,4.5758433,Both,S,,,,,DDP ,"MTS, Jensen Syndrome",
BTK,S,,0.22,,S,all F S or S+U,,100604434,100645770,mRNA,No,4.0242963,0.003738107,Lymphoblast only,S,,,,Y pseudogene,None,"XLA, IGHD3",
RPL36A,S,,0.22,,,all F S or S+U,,100645877,100651142,mRNA,No,2.820929,5.717064,Both,S,,,,,None,,
RPL36A-HNRNPH2,S,,,,,all F S,,100645877,100669128,mRNA,No,4.5193286,5.7871585,Both,S,,,,,,,
GLA,S,,0.22,,S,too much U,,100652778,100663001,mRNA,No,1.4386314,4.3099136,Both,S,,,,,None,Fabry's disease,
HNRNPH2,S,,0,,S,all F S or S+U,,100663120,100669128,mRNA,No,12.538849,10.007465,Both,S,,S,,Y pseudogene,"HNRPH2, FTP3, HNRPH', hnRNPH'",,
ARMCX4,Mostly S,,0.33,,S,all F S or S+U,,100673265,100788446,ncRNA,No,0.08796654,0.4720011,Fibroblast Only,S,,,,,None,,
ARMCX1,S,,0.11,,,all F S or S+U,,100805513,100809675,mRNA,No,0.026383312,8.976363,Fibroblast Only,S,,,,,ALEX1 ,,
ARMCX6,S,,0,,,all F S or S+U,,100870107,100872991,mRNA,No,4.4035015,9.774796,Both,S,,S,,Y pseudogene,FLJ20811 ,,
ARMCX3,S,,0,S,,all F S or S+U,,100878119,100882831,mRNA,No,18.022085,18.79205,Both,S,,S,,,ALEX3 ,,
ARMCX2,S,,0.11,,,all F S or S+U,,100910267,100914863,mRNA,No,5.0592327,17.837664,Both,S,,,,Y pseudogene,"ALEX2, Hs.445729",,One transcript had an escape methylation signature in the 450k study while the rest of the transcripts had subject levels of methylation
NXF5,E,,,,E,,,101087084,101112549,mRNA,No,0.011141802,0,Neither,E,,,,,,,
ZMAT1,Mostly S,,,,VE,all F S or S+U,,101137259,101145193,mRNA,No,2.7971728,0.022719068,Lymphoblast only,S,,,,Y pseudogene,,,
TCEAL2,S,,0,,,,,101380659,101382684,mRNA,No,0.049694434,0.012711592,Neither,S,,,,Y pseudogene,my048 ,,
TCEAL6,No call,,,,,,,101394932,101397388,mRNA,No,0.011175593,0.020963522,Neither,S,,,,,,,
BEX5,No call,,,,,,,101408678,101409237,mRNA,No,2.8112206,0,Lymphoblast only,S,,,,,,,
LL0XNC01-19D8.1,No call,,,,,,,101470279,101481785,mRNA,No,0,0,Neither,S,,,,,,,
NXF2B,No call,,,,,,,101470279,101726732,mRNA,yes,#N/A,-,,S,,,,,,,"There are 2 of NXF2B across this region, one on each strand; each is about 110 kb"
NXF2,No call,,,,,,,101470279,101726732,mRNA,yes,0.00010707,0.000502111,Neither,S,,,,Y pseudogene,,,There are multiple copies of NXF2 across this region on both strands; each is about 10 kb
LL0XNC01-19D8.1,No call,,,,,,,101715239,101726732,mRNA,No,0,0,Neither,S,,,,,,,
TMSB15A,S,,0,,,,,101768609,101771699,mRNA,No,0.005922233,4.649161,Fibroblast Only,S,,S,,,"TMSNB, TMSL8",,
NXF4,No call,,,,,,,101804892,101826621,ncRNA,No,0.005054474,0.004740669,Neither,S,,,,,,,
ARMCX5,S,,0,,,all F S or S+U,,101854095,101859085,mRNA,No,2.6627693,8.11672,Both,S,,S,,Y pseudogene,FLJ12969 ,,
ARMCX5-GPRASP2,S,,,,,all F S or S+U,,101854275,101972661,mRNA,No,0.18686464,1.0017631,Both,S,,,,,,,
GPRASP1,S,,,,,all F S or S+U,,101906293,101914010,mRNA,No,0.15416759,2.6094043,Both,S,,,,Y pseudogene,,,
GPRASP2,S,,0,,,all F S or S+U,,101967103,101972661,mRNA,No,0.17617391,6.7499766,Both,S,,S,,Y pseudogene,None,,
BHLHB9,S,,0,,,all F S or S+U,,101975641,102007369,mRNA,No,0.106444806,0.68180835,Both,S,,S,,Y pseudogene,"KIAA1701, Hs.496518 ",,
LOC100287765,No call,,,,,too much U,,102024094,102140338,ncRNA,No,0.08346148,0.13004786,Fibroblast Only,S,,,,,,,
RAB40AL,No call,,,,,,,102192199,102193228,mRNA,No,0.0710898,0.3500501,Fibroblast Only,S,,,,,,,
BEX1,S,,0.22,S,,,,102317580,102319168,mRNA,No,0,0.29173464,Fibroblast Only,S,,,,,None,,
NXF3,VE,,0.44,,,,,102330749,102348022,mRNA,No,0.012716653,0.01490893,Neither,S,,,,,None,,
BEX4,S,,0,,,all F S,,102470019,102472128,mRNA,No,4.8670397,6.1760025,Both,S,,,,,BEXL1 ,,
TCEAL8,S,,0,,,all F S or S+U,,102507922,102510121,mRNA,No,10.484129,14.644483,Both,S,,,,,MGC45400 ,,
TCEAL5,No call,,,,,,,102528617,102531797,mRNA,No,0,0,Neither,S,,,,Y pseudogene,,,
BEX2,S,,0,,,,,102564273,102565974,mRNA,No,1.1723342,0.25723425,Both,S,,,,,None,,
TCEAL7,S,,0.11,,,,,102585113,102587251,mRNA,No,0,8.801283,Fibroblast Only,S,,,,,MGC23947 ,,
WBP5,VE,,0.44,,,all 4 states,,102611379,102613397,mRNA,No,1.069868,18.189577,Both,S,,,,,None,,
NGFRAP1,S,,0,,,,,102631267,102633001,mRNA,No,1.2713703,21.493567,Both,S,,,Male Bias,,pHGR74 ,,
RAB40A,Discordant,,0.33,,S,,,102754680,102774417,mRNA,No,0.14189686,0.62498814,Both,S,,,,,None,,
TCEAL4,S,,0.22,S,S,,,102840418,102842655,mRNA,No,8.653864,12.428052,Both,S,,,,Y pseudogene,FLJ21174 ,,
TCEAL3,No call,,,,,too much U,,102862833,102864855,mRNA,No,5.4202013,11.19006,Both,S,,,,,,,
TCEAL1,S,,0,,,all F S or S+U,,102883647,102885876,mRNA,No,2.5939806,9.654745,Both,S,,,,,pp21 ,,
MORF4L2,Mostly S,,0.56,,S,S or S+U and VE,,102930425,102943086,mRNA,No,13.15816,13.769741,Both,S,,E,,,,,
LOC340544,VE,,0.44,,,,,102942211,102947484,ncRNA,No,0.6369135,0.9375631,Both,S,,,,,MORF4L2-AS1,,
GLRA4,VE,,,,VE,,,102962271,102983552,mRNA,No,0.015912697,0.019361854,Neither,S,,,,,,,
TMEM31,No call,,,,,,,102965836,102968960,mRNA,No,0.043933492,0.07417062,Neither,S,,,Female Bias,,,,
PLP1,Mostly S,,0.11,,VE,,,103031438,103047547,mRNA,No,0.008522171,0.17424902,Fibroblast Only,S,,,,,None,"PMD, SPG2",
RAB9B,Mostly S,,0.11,,,S or S+U and VE and U,,103031503,103087212,mRNA,No,0.037951883,0.16318527,Fibroblast Only,S,,,,Y pseudogene,None,,
MIR1256,No call,,,,,,,103139054,103139097,miRNA,No,0,0,Neither,Boundary,,,,,,,
AK026512,Mostly E,,,,,E or E+U and VE,,103172239,103174131,ncRNA,No,0.763943,1.4965163,Both,E,,,,,,,
AK090973,No call,,,,,,,103173478,103187485,ncRNA,No,0.3946529,0.22245832,Both,Boundary,,,,,,,
TMSB15B,Mostly S,,0,,,S or S+U and VE and U,,103173478,103220563,mRNA,No,0.30071357,0.4512337,Both,S,,,,,MGC39900 ,,
H2BFXP,No call,,,,,,,103230501,103232785,ncRNA,No,0,0.31558126,Fibroblast Only,S,,,,,,,
H2BFWT,No call,,,,,,,103265718,103268256,mRNA,No,0,0,Neither,S,,,,,,,
H2BFM,No call,,,,,,,103294515,103297021,mRNA,No,0,0,Neither,S,,,,,,,
H2BFXP,No call,,,,,,,103315218,103317502,ncRNA,No,0,0.31558126,Fibroblast Only,S,,,,,,,
MCART6,Mostly S,,0,,S,S or S+U and VE,,103343897,103401708,mRNA,No,0.69106793,0.7644317,Both,S,,S,,Y pseudogene,"DKFZp686O1267, LOC401612",,
ZCCHC18,Mostly S,,,,,S or S+U and VE,,103357106,103360533,mRNA,No,0.16287091,1.4574723,Both,S,,,,,,,
LOC286437,No call,,,,,,,103366999,103369317,ncRNA,No,2.2220926,2.098942,Both,S,,,,,,,
FAM199X,S,,0,,S,all F S,,103411155,103440582,mRNA,No,1.1299498,2.1922314,Both,S,,S,,,"CXORF39, FLJ11643, LOC139231, FLJ21191 ",,
ESX1,No call,,,,,too much U,,103494718,103499599,mRNA,No,0,0.010550465,Neither,S,,,,Y pseudogene,,,
IL1RAPL2,Discordant,,,,VE,S or S+U and VE and U,,103810995,105011822,mRNA,No,0.002065585,0.007828011,Neither,S,,,,,,,
TEX13A,No call,,,,,,,104463610,104465358,mRNA,No,0,0,Neither,S,,,,,,,
NRK,S,,,,S,too much U,,105066535,105202602,mRNA,No,0.001547128,0.1905956,Fibroblast Only,S,,,,,,,
SERPINA7,No call,,,,,,,105277189,105282718,mRNA,No,0.00165512,0,Neither,S,,,,,,Thyroxine-Binding Globulin Deficiency,
MUM1L1,S,,0.11,,,,,105412297,105452949,mRNA,No,0.001350869,0,Neither,S,,,,,FLJ33516 ,,
CXorf57,S,,0,,S,all F S or S+U,,105855159,105922673,mRNA,No,0.18532018,0.16287972,Both,S,,S,,,FLJ10178 ,,
Mir_548,No call,,,,,,,105883043,105883127,miRNA,No,0,0,Neither,S,,,,,,,
RNF128,S,,,,,all F S or S+U,,105937067,106040246,mRNA,No,0.000709658,0.17272292,Fibroblast Only,S,,,,,,,
TBC1D8B,S,,0,,S,too much U,,106045918,106119377,mRNA,No,0.12472045,1.372525,Both,S,,S,,Y pseudogene,FLJ20298 ,,
MORC4,Mostly S,,0,,VE,all F S or S+U,,106057100,106243474,mRNA,No,0.05063205,1.1230059,Fibroblast Only,S,,S,,Y pseudogene,ZCWCC2 ,,
RIPPLY1,S,,0,,,,,106143292,106146561,mRNA,No,0.002799025,0.10238469,Fibroblast Only,S,,S,,,LOC92129 ,,
CLDN2,S,,0.11,,,,,106143393,106174091,mRNA,No,0.002087028,0.0964746,Neither,S,,,,,None,,
RBM41,Mostly S,,0,,S,S or S+U and VE and U,,106305117,106362057,mRNA,No,0.5974781,0.68431056,Both,S,,,,,"FLJ11016, AI650369",,
NUP62CL,Mostly S,,,,VE,all F S or S+U,,106366656,106449670,mRNA,No,0.13131359,0.04064004,Lymphoblast only,S,,,,,,,
CXorf41,S,,,,,all F S or S+U,,106449861,106487473,mRNA,No,0.00146005,0.001369403,Neither,S,,,,,,,
KIAA1817,VE,,0.56,,,,,106843634,106848479,mRNA,No,0.011332411,0.53144217,Fibroblast Only,S,,,,,"CAG24, FRMPD3 (aliases)",,
PRPS1,S,,0.11,,,too much U,,106871653,106894256,mRNA,No,1.7310328,3.8555334,Both,S,,,,,None,"Hereditary hearing loss and deafness, CMTX5, Phosphoribosylpyrophosphate synthetase superactivity, ARTS",
TSC22D3,Mostly S,,0,,VE,all F S or S+U,,106956451,106959711,mRNA,No,6.750233,8.892564,Both,S,,S,,,DSIPI ,,
MID2,Mostly S,,0,,VE,all F S or S+U,,107069083,107174867,mRNA,No,0.002855251,0.110284254,Fibroblast Only,S,,S,,Y pseudogene,"FLJ37392, FLJ41813",MRX101,
BC070370,No call,,,,,,,107173842,107174868,mRNA,No,0.008912182,0.852605,Fibroblast Only,S,,,,,,,
TEX13B,No call,,,,,,,107224093,107225600,mRNA,No,0,0,Neither,S,,,,,,,
VSIG1,No call,,,,,,,107288199,107322414,mRNA,No,0.009362532,0.007526796,Neither,S,,,,Y pseudogene,,,
PSMD10,S,,0.11,,S,all F S or S+U,,107327434,107334874,mRNA,No,4.4835367,6.2714257,Both,S,,,,,None,,
ATG4A,Mostly S,,0.11,,S,S or S+U and VE,,107334898,107397901,mRNA,No,0.44686127,0.747627,Both,S,,,,Y pseudogene,"APG4A, AUTL2 ",,
COL4A6,Mostly VE,,0.33,,VE,S or S+U and VE and U,,107386779,107682704,mRNA,No,0.06052882,0.13593689,Fibroblast Only,S,,,,,None,DFNX6,
COL4A5,S,,,,S,too much U,,107825721,107940775,mRNA,No,0.003420719,1.1270245,Fibroblast Only,S,,,,Y pseudogene,,ATS,
IRS4,Mostly S,,,,,S or S+U and VE and U,,107975726,107979607,mRNA,No,0.004715513,0.03317064,Neither,S,,,,Y pseudogene,,,
GUCY2F,VE,,,,VE,,,108616134,108719250,mRNA,No,0.001420183,0.001998017,Neither,S,,,,Y pseudogene,,,
NXT2,Mostly S,,0.22,S,S,S or S+U and VE and U,,108779009,108787927,mRNA,No,1.3935999,1.6978549,Both,S,,,,,P15-2 ,,
KCNE1L,S,,0,,,,,108866928,108868393,mRNA,No,0.18730173,0.38648096,Both,S,,,,,None,,
ACSL4,S,,0,,S,all F S,,108884563,108976621,mRNA,No,1.0390731,1.785377,Both,S,S,S,,,FACL4 ,MRX63,
TMEM164,S,,0.22,,S,all F S or S+U,,109245862,109421016,mRNA,No,0.26571918,0.3565567,Both,S,S,,,,"FLJ22679, RP13-360B22.2, Hs.425072",,
Mir_652,No call,,,,,,,109298556,109298654,miRNA,No,0,0,Neither,S,,,,,,,
MIR3978,No call,,,,,,,109325345,109325446,miRNA,No,0.17946689,0,Lymphoblast only,S,,,,,,,
AMMECR1,S,,0.22,,S,all F S,,109437413,109683461,mRNA,No,0.15348364,0.29296833,Both,S,,,,,Hs.61094,,
SNORD96B,No call,,,,,,,109468216,109468288,snoRNA,No,0.12538098,0,Lymphoblast only,S,,,,,,,
RGAG1,VE,,,,VE,,,109602043,109699562,mRNA,No,0.02749973,0.040669274,Neither,S,,,,,,,
Mir_633,No call,,,,,,,109657139,109657216,miRNA,No,0,0,Neither,S,,,,,,,
TDGF1P3,No call,,,,,,,109763539,109766249,ncRNA,No,0,0,Neither,S,,,,,,,
CHRDL1,S,,0.11,,S,too much U,,109917083,110039286,mRNA,No,0.00134816,0.04341314,Neither,S,,,,,NRLN1 ,,
PAK3,Mostly S,,0.22,,VE,S or S+U and VE and U,,110187512,110464173,mRNA,No,0.00165415,0.057527877,Neither,S,,,,,None,MRX30,
AF070581,No call,,,,,,,110367492,110372431,ncRNA,No,0.018527957,1.8611469,Fibroblast Only,S,,,,,,,
CAPN6,S,,,,S,,,110488326,110513774,mRNA,No,0.000719306,0.005059862,Neither,S,,,,,,,
DCX,S,,,,S,,,110537006,110655460,mRNA,No,0.001081756,0.002174133,Neither,S,,,,,,LISX1,
DKFZp686D0853,No call,,,,,,,110754889,110765627,ncRNA,No,0,0.031175893,Neither,Boundary,,,,,,,
ALG13,VE,,0.56,,VE,E or E+U and VE and U,,110924345,111003875,mRNA,No,1.1356571,1.6378789,Both,Boundary,,,,,"MDS031, GLT28D1, MYCL2, FLJ23018, CXorf45","Carbohydrate-deficient glycoprotein syndrome, CDG1S",
TRPC5,VE,,0.44,,VE,,,111017541,111326004,mRNA,No,0.00682461,0.0286371,Neither,Boundary,,,,Y pseudogene,None,,
LOC100329135,No call,,,,,,,111119278,111147213,mRNA,No,0.008846145,0.00553129,Neither,Boundary,,,,,,,
ZCCHC16,E,,,,E,,,111326252,111700473,mRNA,No,0.001173995,0.004129157,Neither,E,,,,,,,
LHFPL1,Discordant,,0.22,,VE,,,111873878,111923375,mRNA,No,0.031620078,0.2533849,Fibroblast Only,Boundary,,,,,None,,
AMOT,S,,0,,S,too much U,,112018104,112084043,mRNA,No,0.4325168,0.6998879,Both,S,,S,,,None,,
MIR4329,No call,,,,,,,112023945,112024016,miRNA,No,0,0,Neither,Boundary,,,,,,,
U6,No call,,,,,,,112162359,112162458,snRNA,No,0,0.2476316,Fibroblast Only,Boundary,,,,,,,
HTR2C,Mostly E,,,,,E or E+U and VE,,113818550,114144624,mRNA,No,0.012182228,0.007740125,Neither,E,,,,,,,
SNORA35,No call,,,,,,,113865258,113865386,snoRNA,No,0,0,Neither,Boundary,,,,,,,
MIR764,No call,,,,,,,113873917,113874002,miRNA,No,0,0,Neither,Boundary,,,,,,,
MIR1912,No call,,,,,,,113886018,113886098,miRNA,No,0,0,Neither,Boundary,,,,,,,
MIR1264,No call,,,,,,,113887129,113887198,miRNA,No,0,0,Neither,Boundary,,,,,,,
MIR1298,No call,,,,,,,113949649,113949761,miRNA,No,0,0,Neither,Boundary,,,,,,,
MIR1911,No call,,,,,,,113997743,113997823,miRNA,No,0,0,Neither,Boundary,,,,,,,
MIR448,No call,,,,,,,114058016,114058127,miRNA,No,0,0,Neither,Boundary,,,,,,,
IL13RA2,No call,,,,,,,114238537,114252207,mRNA,yes,0,0.022605825,Neither,Boundary,,,,,,,
LRCH2,Discordant,,0,,VE,too much U,,114345182,114468635,mRNA,No,0.005486319,0.3091594,Fibroblast Only,Boundary,,S,,,KIAA1495 ,,
SNORA35,No call,,,,,,,114360878,114361007,snoRNA,No,0,0,Neither,Boundary,,,,,,,
RBMXL3,No call,,,,,,,114423962,114427431,mRNA,No,0.005275395,0.007421812,Neither,Boundary,,,,,,,
LUZP4,No call,,,,,,,114524291,114542121,mRNA,yes,0.002053236,0,Neither,Boundary,,,,,,,
AK127380,No call,,,,,,,114752496,114797058,ncRNA,No,0.004723979,0.097089946,Neither,Boundary,,,,,,,
PLS3,Mostly VE,,0.44,,VE,all F E or E+U,,114795176,114885179,mRNA,No,0.06986335,1.8435959,Fibroblast Only,Boundary,,,,Y pseudogene,Hs.333016,BMND18,
LOC642776,No call,,,,,too much U,,115033603,115085422,mRNA,No,0.057757027,0.002981901,Neither,Boundary,,,,,,,
AGTR2,S,,,,S,,,115301957,115306225,mRNA,No,0.01715214,0,Neither,S,,,,Y pseudogene,,,
SLC6A14,No call,,,,,,,115567746,115592625,mRNA,No,0.001839391,0.002070232,Neither,S,,,,,,BMIQ11,
CXorf61,No call,,,,,,,115592851,115594137,mRNA,yes,0,0,Neither,S,,,,,,,
KLHL13,Mostly S,,0.11,,VE,S or S+U and VE,,117031775,117251303,mRNA,No,0.026475022,0.13397187,Fibroblast Only,S,,,,,BKLHD2 ,,
WDR44,S,,0,,S,all F S or S+U,,117480035,117583923,mRNA,No,0.2788423,0.88647676,Both,S,,S,,Y pseudogene,DKFZp686L20145 ,,
MIR1277,No call,,,,,,,117520356,117520434,miRNA,No,0,0,Neither,S,,,,,,,
DOCK11,Mostly S,,0.33,,S,all F S,,117629871,117820123,mRNA,No,0.33425876,0.2900882,Both,S,,,,Y pseudogene,None,,
IL13RA1,Mostly S,,0,,VE,all F S,,117861558,117928496,mRNA,No,0.07274228,1.6551242,Fibroblast Only,S,,S,,Y pseudogene,None,,
SNORA35,No call,,,,,,,117872017,117872145,snoRNA,No,0,0,Neither,S,,,,,,,
ZCCHC12,S,,,,,all F S or S+U,,117957786,117960931,mRNA,No,0,0.11460636,Fibroblast Only,S,,,,,,,
AK057519,S,,,,,all F S,,117973518,117991683,ncRNA,No,0.002519215,0,Neither,S,,,,,,,
LONRF3,Mostly S,,0,,VE,all F S,,118108712,118151949,mRNA,No,0.02349697,0.004169384,Neither,S,,S,,Y pseudogene,RNF127 ,,
KIAA1210,VE,,,,VE,,,118212597,118284542,mRNA,No,0.001781049,0.002147751,Neither,S,,,,,,,
PGRMC1,S,,0,,S,all F S or S+U,,118370210,118378429,mRNA,No,2.4396362,6.748594,Both,S,,S,,,None,,
SLC25A43,Mostly S,,0.33,,S,S or S+U and VE,,118533257,118588437,mRNA,No,0.64224434,0.99503195,Both,S,,,,,"LOC203427, FLJ33985 ",,
Y_RNA,No call,,,,,,,118590520,118590621,ncRNA,No,0,0,Neither,S,,,,,,,
SLC25A5-AS1,No call,,,,,,,118599995,118603083,ncRNA,No,4.3349185,1.9592477,Both,S,,,,,,,
AK094280,S,,,,,all F S or S+U,,118599996,118602225,ncRNA,No,0.43096197,0.18477981,Both,S,,,,,,,
BC028211,Mostly S,,,,,S or S+U and VE,,118599996,118603061,ncRNA,No,4.3674374,1.9739453,Both,S,,,,,,,
SLC25A5,S,,0,,,,,118602362,118605359,mRNA,No,63.071354,15.7717705,Both,S,,S,,,ANT2,,
CXorf56,Mostly S,,0.22,,S,S or S+U and VE and U,,118672111,118699397,mRNA,No,0.53500694,0.94947076,Both,S,,,,Y pseudogene,FLJ22965 ,,
UBE2A,S,,0,,S,all F S,,118708498,118718379,mRNA,No,4.820925,7.1850753,Both,S,,S,,,HHR6A ,MRXSN,
NKRF,S,,0,,S,all F S,,118722299,118739846,mRNA,No,2.1025178,1.5688791,Both,S,,S,,Y pseudogene,NRF; ITBA4,,
SEPT6,Mostly S,,0,S,VE,S or S+U and VE and U,,118749687,118827333,mRNA,No,#N/A,-,,S,S,S,,,"KIAA0128, Hs.178536",,
MIR766,No call,,,,,,,118780700,118780811,miRNA,No,0.81721526,0.22994363,Both,S,,,,,,,
SOWAHD,S,,,,,all F S,,118892575,118894165,mRNA,No,1.1333147,0.30755502,Both,S,,,,Y pseudogene,ANKRD58,,
RPL39,S,,0,,S,all F S or S+U,,118920468,118925606,mRNA,No,8.718235,1.8091226,Both,S,,S,,Y pseudogene,None,,
SNORA69,No call,,,,,,,118921315,118921447,snoRNA,No,0.75699943,3.2918246,Both,S,,,,,,,
UPF3B,S,,0.22,,S,all F S or S+U,,118967988,118986991,mRNA,No,1.3793755,1.6844786,Both,S,,,,,None,MRXS14,
RNF113A,S,,0,,,all F S or S+U,,119004494,119005791,mRNA,No,25.646204,16.428392,Both,S,S,,,Y pseudogene,ZNF183 ,,
NDUFA1,S,,,,S,all F S,,119005733,119010629,mRNA,No,13.3114805,3.5235796,Both,S,,S,,Y pseudogene,,Mitochondrial complex I deficiency,
AKAP14,Mostly S,,0,,VE,,,119029935,119054679,mRNA,No,0.009247132,0.00312229,Neither,S,,S,,,AKAP28 ,,
NKAP,Mostly S,,0.11,,S,S or S+U and VE,,119059012,119077735,mRNA,No,0.8099876,1.4359565,Both,S,,,,Y pseudogene,FLJ22626 ,,
AK123976,No call,,,,,,,119170200,119280760,ncRNA,No,0.07955655,0.003726983,Neither,S,,,,,,,
RHOXF2,S,,0.11,,,,,119206228,119211707,mRNA,yes,0,0,Neither,S,,,,,PEPP-2~ ,,
RHOXF1,No call,,,,,,,119243024,119249847,mRNA,No,0.0791348,0,Neither,S,,,,,,,
RHOXF2B,No call,,,,,,,119292466,119297945,mRNA,No,0.011691547,0,Neither,S,,,,,,,
NKAPP1,Mostly S,,0.33,,,all F S or S+U,,119370308,119379122,ncRNA,No,0.32395655,0.15776506,Both,S,,,,,FLJ36576 ,,
ZBTB33,S,,0,,S,all F S or S+U,,119384606,119392251,mRNA,No,6.134993,3.9172819,Both,S,S,S,,Y pseudogene,ZNF-kaiso,,
FAM70A,Mostly S,,0,,VE,all F S,,119392504,119445391,mRNA,No,0.07303143,0.011199796,Neither,S,,S,,,FLJ20716 ,,
ATP1B4,No call,,,,,,,119495939,119517104,mRNA,No,0,0.004866992,Neither,S,,,,Y pseudogene,,,
LAMP2,Mostly S,,0,,S,S or S+U and VE,,119560002,119603204,mRNA,No,1.3908341,3.6684532,Both,S,S,S,,,stSG42843,Danon disease,
CUL4B,Mostly S,,0.44,,S,all F S or S+U,,119658445,119709684,mRNA,No,1.3498789,2.9679062,Both,S,,E,,Y pseudogene,KIAA0695 ,(MRXC; MRXS15; MRXSC,
MCTS1,S,,0.22,,S,all F S or S+U,,119737743,119755016,mRNA,No,2.701229,3.3410914,Both,S,,,,Y pseudogene,None,,
C1GALT1C1,S,,0,,,all F S or S+U,,119759528,119764005,mRNA,No,3.9243853,5.676393,Both,S,,S,,Y pseudogene,C1GALT2 ,TNPS,
CT47B1,No call,,,,,,,120006451,120009779,mRNA,yes,0.002749417,0.015472326,Neither,S,,,,,,,
CT47A11,No call,,,,,,,120011344,120114778,mRNA,yes,#N/A,0,,S,,,,,,,There is multiple copies of CT47A11 here. Each is around 3 kb long.
CT47A1,No call,,,,,,,120011344,120119638,mRNA,yes,#N/A,0,,S,,,,,,,"There are multiple copies of CT47A1 here, each is around 3 kb long"
CT47A7,No call,,,,,,,120087136,120090454,mRNA,yes,0,0,Neither,S,,,,,,,
CT47A6,No call,,,,,,,120092019,120095337,mRNA,yes,0,0,Neither,S,,,,,,,
GLUD2,S,,0,,,,,120181461,120183796,mRNA,No,11.515459,10.219892,Both,S,,,,,GLUD1,,
Mir_548,No call,,,,,,,120466405,120466489,miRNA,No,0,0,Neither,S,,,,,,,
GRIA3,Mostly S,,,,VE,all F S or S+U,,122318095,122624766,mRNA,No,0.005670665,0.002519339,Neither,S,,E,,,,MRXSW,
mir-220,No call,,,,,,,122695945,122696055,miRNA,No,0,0.46403039,Fibroblast Only,S,,,,,,,
THOC2,S,,0,,S,all F S or S+U,,122734411,122866904,mRNA,No,0.86164665,1.5419867,Both,S,,S,,Y pseudogene,,,
Mir_584,No call,,,,,,,122762640,122762760,miRNA,No,0.21285607,0,Lymphoblast only,S,,,,,,,
