Gene Name,Balaton consensus calls,,Carrel hybrids,Carrel SNPs,Cotton AI,Cotton DNAm,,Transcript Start,Transcript Stop,Transcript Type,CTAG gene,Expression in GM12878,Expression in IMR90,Expressed in Either Tissue,Domain categories,Results from other literature,Lister mCH,Sex differences in expression,Y homology,alternate gene names,Related Diseases,Comments
MSL3,Discordant,,0.33,S,E,all F S or S+U,,11776277,11793872,mRNA,No,5.1423445,4.518165,Both,S,VE,,,,MSL3L1,,
Y_RNA,No call,,,,,,,12072942,12073045,ncRNA,No,0,0,Neither,S,,,,,,,
FRMPD4,Discordant,,0.22,,VE,too much U,,12156584,12742642,mRNA,No,0.001468051,0.03084858,Neither,S,,,,Y pseudogene,"PDZK10, M62076",,
Mir_1302,No call,,,,,,,12251432,12251484,miRNA,No,0,0,Neither,S,,,,,,,
Mir_548,No call,,,,,,,12633886,12633970,miRNA,No,0,0,Neither,S,,,,,,,
PRPS2,S,,0,S,S,all F S or S+U,,12809473,12842346,mRNA,No,1.9314063,1.7007742,Both,S,,S,,,None,,
TLR7,S,,,,S,,,12885201,12908480,mRNA,No,5.595088,0,Lymphoblast only,S,S,,,Y pseudogene,,,
TLR8-AS1,No call,,,,,,,12920935,12961419,ncRNA,No,0.007686688,0.001272258,Neither,Boundary,,,,,,,
TLR8,No call,,,,,,,12924738,12941288,mRNA,No,0.007742092,0.00311204,Neither,Boundary,,,,Y pseudogene,,,
TMSB4X,No call,,,,,too much U,,12993225,12995346,mRNA,No,458.90002,24.928404,Both,Boundary,,,,Y homolog,,,
FAM9C,E,,0.78,,,,,13053735,13062917,mRNA,No,0.020930963,0.005608992,Neither,E,,,,,None,,
ATXN3L,No call,,,,,,,13336767,13338518,mRNA,No,0.12538098,0,Lymphoblast only,Boundary,,,,,,,
LOC100133123,No call,,,,,,,13353359,13359944,ncRNA,No,0.025015274,0,Neither,Boundary,,,,,,,
EGFL6,S,,,,S,,,13587693,13651694,mRNA,No,0.002860164,0.002414333,Neither,S,,,,Y pseudogene,,,
7SK,No call,,,,,,,13614354,13614667,snRNA,No,0,0,Neither,Boundary,,,,,,,
TCEANC,Mostly E,,1,,VE,E or E+U and VE,,13671224,13700083,mRNA,No,0.20392437,0.20792131,Both,E,,,,,MGC17403,,
RAB9A,Mostly E,,1,,VE,all F E or E+U,,13707239,13727944,mRNA,No,2.3184822,1.4950223,Both,E,,,,Y pseudogene,None,,
TRAPPC2,Mostly E,,1,E,VE,all F E or E+U,,13730360,13752754,mRNA,No,1.0299212,1.9101082,Both,E,E,E,Female Bias,,SEDL,SEDT,
OFD1,Mostly E,,1,,VE,all F E or E+U,,13752831,13787480,mRNA,No,2.060373,1.9391448,Both,E,,E,Female Bias,Y pseudogene,CXORF5,"OFD1, JBTS10, SGBS2, RP23",
GPM6B,Mostly E,,0.89,,VE,all F E or E+U,,13789061,13956831,mRNA,No,0.081942186,0.18067537,Fibroblast Only,E,VE,E,,Y pseudogene,None,,
GEMIN8,Mostly E,,1,,VE,all F E or E+U,,14024844,14048035,mRNA,No,1.5427017,2.4563277,Both,E,,E,Female Bias,,"FAM51A1, XE59, FLJ20514",,
GLRA2,Mostly S,,0.11,,S,E or E+U and VE,,14547419,14749933,mRNA,No,0.018982202,0.04209303,Neither,S,,,,Y pseudogene,None,,
